Id;Gênero;RendaFamiliar;EducacaoPaterna;PeriodoDeAula;FezAulaParticular;EstadoCivilDosPais;PraticaEsportes;FilhoMaisVelho;NumIrmaos;TransporteEscolar;HorasDeEstudo;notaDeMatematica;notaDePortugues;notaDeCiencias
0;feminino;;superior completo;matutino;nao;casado;regularmente;sim;3;onibus;< 5;71;71;74
1;feminino;grupo C;superior incompleto;matutino;;casado;eventualmente;sim;0;;> 5 < 10;69;90;88
2;feminino;grupo B;mestrado;matutino;nao;solteiro;eventualmente;sim;4;onibus;< 5;87;93;91
3;masculino;grupo A;ensinao medio;vespertino;nao;casado;nunca;nao;1;;> 5 < 10;45;56;42
4;masculino;grupo C;superior incompleto;matutino;nao;casado;eventualmente;sim;0;onibus;> 5 < 10;76;78;75
5;feminino;grupo B;ensinao medio;matutino;nao;casado;regularmente;sim;1;onibus;> 5 < 10;73;84;79
6;feminino;grupo B;superior incompleto;matutino;sim;viuvo;nunca;nao;1;carro;> 5 < 10;85;93;89
7;masculino;grupo B;superior incompleto;vespertino;nao;casado;eventualmente;sim;1;carro;> 10;41;43;39
8;masculino;grupo D;ensinao medio incompleto;vespertino;sim;solteiro;eventualmente;nao;3;carro;> 10;65;64;68
9;feminino;grupo B;ensinao medio incompleto;vespertino;nao;casado;regularmente;sim;;carro;< 5;37;59;50
10;masculino;grupo C;ensinao medio;matutino;nao;;eventualmente;sim;1;carro;> 5 < 10;37;54;52
11;feminino;grupo D;ensinao medio;matutino;nao;divorciado;eventualmente;sim;1;onibus;> 5 < 10;40;52;43
12;masculino;grupo B;ensinao medio incompleto;matutino;nao;casado;regularmente;nao;1;carro;> 5 < 10;66;82;74
13;feminino;grupo A;superior incompleto;matutino;sim;solteiro;eventualmente;sim;1;carro;> 10;80;73;71
14;feminino;grupo A;mestrado;matutino;nao;divorciado;eventualmente;sim;2;carro;< 5;48;53;58
15;masculino;grupo C;some ensinao medio incompleto;matutino;nao;casado;eventualmente;sim;0;carro;;69;75;78
16;feminino;grupo C;ensinao medio incompleto;matutino;;casado;eventualmente;sim;0;onibus;> 5 < 10;88;89;86
17;masculino;grupo B;some ensinao medio incompleto;vespertino;nao;divorciado;eventualmente;sim;1;onibus;> 5 < 10;18;32;28
18;feminino;grupo C;mestrado;vespertino;sim;solteiro;eventualmente;nao;1;carro;> 5 < 10;46;42;47
19;masculino;grupo C;ensinao medio;vespertino;nao;casado;nunca;sim;3;carro;< 5;50;56;58
20;feminino;grupo D;ensinao medio incompleto;matutino;nao;casado;eventualmente;sim;5;onibus;> 5 < 10;66;69;63
21;masculino;grupo B;superior incompleto;vespertino;sim;casado;eventualmente;nao;2;onibus;> 5 < 10;65;75;70
22;feminino;grupo D;;matutino;nao;casado;nunca;sim;5;;> 5 < 10;42;53;51
23;masculino;grupo C;some ensinao medio incompleto;matutino;nao;divorciado;nunca;nao;3;;> 5 < 10;66;71;71
24;masculino;grupo D;;vespertino;sim;casado;eventualmente;sim;2;onibus;> 5 < 10;74;71;80
25;masculino;grupo A;mestrado;vespertino;nao;casado;regularmente;sim;1;onibus;> 5 < 10;75;76;76
26;feminino;grupo B;superior incompleto;matutino;nao;casado;eventualmente;sim;5;onibus;< 5;66;53;53
27;masculino;grupo C;superior completo;matutino;nao;casado;eventualmente;sim;4;onibus;> 10;69;70;76
28;feminino;grupo C;ensinao medio incompleto;matutino;nao;casado;eventualmente;nao;1;carro;> 5 < 10;70;70;65
30;feminino;grupo D;superior incompleto;matutino;nao;solteiro;eventualmente;sim;0;carro;< 5;66;72;72
31;feminino;grupo B;superior incompleto;matutino;nao;solteiro;eventualmente;sim;5;;> 5 < 10;63;65;61
32;masculino;grupo E;mestrado;vespertino;nao;divorciado;eventualmente;sim;1;onibus;> 5 < 10;56;73;66
33;masculino;;superior incompleto;matutino;nao;casado;eventualmente;nao;2;carro;> 5 < 10;40;42;38
34;masculino;grupo E;superior incompleto;matutino;nao;divorciado;eventualmente;sim;0;onibus;;97;87;82
35;feminino;grupo E;ensinao medio;matutino;sim;solteiro;eventualmente;nao;;onibus;> 5 < 10;81;81;79
36;feminino;grupo D;ensinao medio;matutino;nao;casado;regularmente;nao;2;carro;> 5 < 10;76;82;85
37;feminino;grupo D;some ensinao medio incompleto;vespertino;nao;casado;regularmente;sim;1;carro;> 5 < 10;51;64;60
38;masculino;grupo D;ensinao medio;vespertino;sim;casado;regularmente;nao;1;onibus;> 5 < 10;77;91;90
39;masculino;grupo B;ensinao medio;vespertino;nao;solteiro;regularmente;sim;5;onibus;> 5 < 10;58;56;58
40;feminino;grupo C;ensinao medio;vespertino;nao;casado;nunca;sim;0;onibus;> 5 < 10;53;60;52
41;masculino;grupo C;ensinao medio;matutino;nao;divorciado;regularmente;nao;1;;> 5 < 10;59;74;69
43;feminino;grupo B;superior incompleto;vespertino;;casado;regularmente;sim;3;onibus;> 5 < 10;60;65;67
44;masculino;grupo E;ensinao medio;vespertino;nao;casado;eventualmente;sim;5;onibus;< 5;48;55;52
45;feminino;grupo B;ensinao medio;matutino;nao;solteiro;eventualmente;sim;3;onibus;< 5;63;53;55
47;masculino;grupo C;ensinao medio incompleto;matutino;nao;casado;regularmente;sim;;carro;> 5 < 10;67;72;77
49;masculino;grupo C;ensinao medio incompleto;matutino;sim;casado;eventualmente;;3;;> 5 < 10;82;84;82
50;masculino;grupo E;superior incompleto;matutino;nao;casado;;nao;3;onibus;> 10;54;55;48
51;masculino;;ensinao medio;vespertino;sim;casado;regularmente;nao;2;carro;< 5;76;68;68
52;masculino;grupo C;superior incompleto;matutino;nao;divorciado;regularmente;sim;3;onibus;> 10;56;45;43
53;feminino;grupo D;ensinao medio incompleto;matutino;nao;solteiro;eventualmente;sim;2;onibus;> 5 < 10;88;78;75
54;feminino;;some ensinao medio incompleto;vespertino;sim;casado;regularmente;sim;;carro;> 10;75;86;90
55;feminino;grupo C;ensinao medio incompleto;vespertino;nao;divorciado;eventualmente;sim;2;carro;> 5 < 10;33;41;43
56;masculino;grupo E;ensinao medio;matutino;sim;casado;eventualmente;sim;3;onibus;> 10;84;86;87
57;masculino;grupo D;ensinao medio;matutino;nao;solteiro;eventualmente;nao;2;carro;> 5 < 10;52;55;49
58;feminino;grupo D;;matutino;sim;casado;regularmente;nao;1;carro;> 10;61;60;60
59;masculino;grupo C;some ensinao medio incompleto;vespertino;nao;solteiro;regularmente;sim;3;onibus;> 10;0;17;10
61;masculino;grupo A;some ensinao medio incompleto;vespertino;nao;casado;eventualmente;sim;;onibus;> 5 < 10;39;39;34
62;feminino;grupo A;ensinao medio;vespertino;nao;casado;eventualmente;sim;5;carro;> 5 < 10;62;61;55
64;masculino;grupo D;some ensinao medio incompleto;matutino;nao;casado;eventualmente;sim;0;onibus;> 5 < 10;59;58;59
65;masculino;grupo B;some ensinao medio incompleto;matutino;nao;casado;nunca;sim;1;carro;< 5;63;62;58
66;feminino;grupo D;some ensinao medio incompleto;vespertino;nao;casado;eventualmente;sim;4;onibus;> 5 < 10;45;37;37
67;masculino;grupo C;superior incompleto;matutino;nao;casado;regularmente;nao;3;onibus;> 5 < 10;61;73;75
68;feminino;grupo B;ensinao medio;vespertino;nao;divorciado;regularmente;nao;3;onibus;;62;58;57
69;masculino;grupo C;ensinao medio;matutino;nao;solteiro;eventualmente;sim;3;onibus;> 5 < 10;39;64;57
71;feminino;grupo D;superior incompleto;matutino;sim;divorciado;eventualmente;sim;3;carro;> 10;64;55;64
72;masculino;grupo A;ensinao medio;vespertino;nao;solteiro;regularmente;sim;1;carro;> 5 < 10;42;51;49
73;masculino;grupo C;some ensinao medio incompleto;vespertino;nao;divorciado;nunca;sim;3;onibus;> 5 < 10;59;56;54
74;masculino;grupo C;some ensinao medio incompleto;matutino;;casado;eventualmente;sim;2;carro;< 5;47;48;40
75;masculino;grupo B;ensinao medio;vespertino;nao;divorciado;eventualmente;nao;;onibus;> 5 < 10;44;41;38
76;masculino;grupo E;some ensinao medio incompleto;matutino;nao;;eventualmente;nao;5;onibus;> 5 < 10;28;25;21
77;feminino;grupo A;;matutino;sim;;regularmente;sim;;;> 5 < 10;82;79;83
78;feminino;grupo D;some ensinao medio incompleto;matutino;sim;divorciado;eventualmente;sim;2;onibus;> 10;62;75;73
79;feminino;grupo E;mestrado;matutino;nao;divorciado;nunca;sim;1;onibus;> 5 < 10;60;68;68
80;masculino;grupo B;ensinao medio;matutino;nao;casado;regularmente;sim;0;carro;> 10;49;50;52
81;masculino;grupo B;ensinao medio incompleto;vespertino;nao;casado;eventualmente;sim;0;carro;;49;45;45
82;masculino;grupo A;superior incompleto;vespertino;sim;casado;eventualmente;nao;;onibus;> 5 < 10;50;47;54
83;masculino;grupo E;ensinao medio;matutino;nao;casado;regularmente;sim;0;carro;> 5 < 10;74;64;64
84;feminino;grupo D;ensinao medio incompleto;vespertino;nao;casado;nunca;;3;carro;> 5 < 10;40;38;33
85;feminino;grupo C;superior incompleto;matutino;nao;divorciado;eventualmente;sim;0;carro;> 5 < 10;73;80;82
86;feminino;grupo C;superior incompleto;vespertino;nao;casado;eventualmente;sim;;onibus;< 5;73;81;86
87;feminino;grupo D;ensinao medio;matutino;nao;solteiro;eventualmente;sim;0;carro;> 5 < 10;71;71;74
88;feminino;grupo A;superior incompleto;matutino;nao;divorciado;regularmente;sim;3;onibus;< 5;57;69;67
89;masculino;grupo D;some ensinao medio incompleto;matutino;nao;solteiro;eventualmente;sim;;carro;> 10;75;87;83
91;masculino;grupo C;ensinao medio incompleto;vespertino;nao;divorciado;regularmente;nao;4;;> 5 < 10;27;34;36
